t,x,y,z,qw,qx,qy,qz
8.7080053,0.14999999105930328,-2.0,1.2513843774795532,0.7071069478988647,0.0,0.0,0.7071065902709961
8.7286999,0.14999999105930328,-2.0,1.2534010410308838,0.7071069478988647,0.0,0.0,0.7071065902709961
8.7918019,0.14999999105930328,-2.0,1.2588810920715332,0.7071069478988647,0.0,0.0,0.7071065902709961
8.8546306,0.14999999105930328,-2.0,1.263469934463501,0.7071069478988647,0.0,0.0,0.7071065902709961
8.9177533,0.14999999105930328,-2.0,1.2672245502471924,0.7071069478988647,0.0,0.0,0.7071065902709961
8.98074,0.14999999105930328,-2.0,1.2702399492263794,0.7071069478988647,0.0,0.0,0.7071065902709961
9.0438931,0.14999999105930328,-2.0,1.272613286972046,0.7071069478988647,0.0,0.0,0.7071065902709961
9.106734,0.14999999105930328,-2.0,1.2744344472885132,0.7071069478988647,0.0,0.0,0.7071065902709961
9.1696235,0.14999999105930328,-2.0,1.2757830619812012,0.7071069478988647,0.0,0.0,0.7071065902709961
9.2326529,0.14999999105930328,-2.0,1.2767292261123657,0.7071069478988647,0.0,0.0,0.7071065902709961
9.2955487,0.14999999105930328,-2.0,1.2790491580963135,0.7098429799079895,-3.603130971896462e-05,5.759250052506104e-05,0.7043600082397461
9.3588022,0.14999762177467346,-2.0000057220458984,1.2827306985855103,0.7147774696350098,0.00021674047457054257,0.0005091808270663023,0.6993517875671387
9.4215345,0.14996011555194855,-2.0000267028808594,1.2859266996383667,0.7208958864212036,0.0011031909380108118,0.0011629528598859906,0.6930415034294128
9.4847187,0.1498151570558548,-2.0000505447387695,1.2885500192642212,0.7276436686515808,0.001268295687623322,0.0010725634638220072,0.6859533786773682
9.5475703,0.1495446413755417,-2.000061273574829,1.2906675338745117,0.734559178352356,0.0010164767736569047,0.00062010862166062,0.6785436272621155
9.6108339,0.1491832435131073,-2.000046968460083,1.2923370599746704,0.7412852644920349,0.0007300282595679164,5.170487202121876e-05,0.6711897253990173
9.6736238,0.148778036236763,-1.9999927282333374,1.2936023473739624,0.7475530505180359,0.0005333559820428491,-0.0005720056942664087,0.6642016768455505
9.7366267,0.148376002907753,-1.9998779296875,1.2945023775100708,0.7531761527061462,0.0004811286344192922,-0.0012305524433031678,0.6578176021575928
9.7997603,0.14801952242851257,-1.9996720552444458,1.2950716018676758,0.7580339908599854,0.0005928277969360352,-0.0019213819177821279,0.6522120237350464
9.8628095,0.1477447748184204,-1.9993340969085693,1.2953394651412964,0.762070894241333,0.0008798650233075023,-0.0026418918278068304,0.6474876999855042
9.9257736,0.147581547498703,-1.99881112575531,1.2953300476074219,0.765281081199646,0.0013293203664943576,-0.003404343966394663,0.6436859965324402
9.9889165,0.14755403995513916,-1.9980390071868896,1.295066237449646,0.7676882743835449,0.0019240149995312095,-0.004221021663397551,0.6408066749572754
10.0520281,0.14768266677856445,-1.996942400932312,1.2945669889450073,0.7693432569503784,0.002644141437485814,-0.005103727336972952,0.6388098001480103
10.1149427,0.147985577583313,-1.9954349994659424,1.293848991394043,0.7703136801719666,0.003469532122835517,-0.006062107160687447,0.6376269459724426
10.1778406,0.14847998321056366,-1.993420124053955,1.2929283380508423,0.7706787586212158,0.004382606595754623,-0.0071006352081894875,0.6371693015098572
10.2412637,0.1491832435131073,-1.9907913208007812,1.2918168306350708,0.7705236673355103,0.005372149869799614,-0.00821837317198515,0.6373357772827148
10.3043833,0.15011319518089294,-1.9874345064163208,1.290526032447815,0.7699353098869324,0.006431017071008682,-0.009406261146068573,0.6380202174186707
10.3671174,0.15128766000270844,-1.9832267761230469,1.2890695333480835,0.7689982056617737,0.007562392856925726,-0.010645701549947262,0.6391175985336304
10.4303024,0.1527232676744461,-1.9780380725860596,1.287460207939148,0.7677929401397705,0.008775966241955757,-0.011910999193787575,0.6405272483825684
10.4932807,0.1544332504272461,-1.97173273563385,1.285711646080017,0.7663922905921936,0.010087232105433941,-0.013170478865504265,0.6421586275100708
10.5562386,0.156424880027771,-1.9641691446304321,1.2838386297225952,0.764861524105072,0.011514204554259777,-0.014389755204319954,0.6439311504364014
10.619371,0.15869639813899994,-1.9552013874053955,1.2818570137023926,0.7632560729980469,0.01307106763124466,-0.015537749044597149,0.6457770466804504
10.6822219,0.16123461723327637,-1.9446783065795898,1.2797832489013672,0.761622965335846,0.014758703298866749,-0.016595566645264626,0.647639811038971
10.7451905,0.16401387751102448,-1.932446837425232,1.2776360511779785,0.7599996328353882,0.016558535397052765,-0.0175616517663002,0.6494751572608948
10.8083518,0.16699661314487457,-1.9183515310287476,1.2754366397857666,0.7584163546562195,0.018416862934827805,-0.0184701606631279,0.6512483358383179
10.8714874,0.17013823986053467,-1.9022371768951416,1.2732007503509521,0.7568938732147217,0.02027023211121559,-0.01936403475701809,0.6529362797737122
10.9345393,0.17339296638965607,-1.8839502334594727,1.2709574699401855,0.7554476261138916,0.022043069824576378,-0.02029988542199135,0.6545233726501465
10.9975472,0.176720529794693,-1.8633397817611694,1.2687362432479858,0.7540875673294067,0.02367255836725235,-0.02131696417927742,0.6560009717941284
11.0604345,0.18009255826473236,-1.8402591943740845,1.2665603160858154,0.752814769744873,0.02511344477534294,-0.022475233301520348,0.6573691368103027
11.1234263,0.1834976077079773,-1.8145672082901,1.2644637823104858,0.7516274452209473,0.026336468756198883,-0.023767489939928055,0.6586332321166992
11.1859184,0.1869436651468277,-1.786128282546997,1.2624810934066772,0.7505256533622742,0.027148358523845673,-0.025392472743988037,0.6597950458526611
